x,y,v,th,gx,gy,gvx,gvy,Value_costs,Policy_costs
0.36298263,0.1999178,0.38315308,1.6010041,-0.8580174,0.3461263,-0.28581142,-0.11175256,2.5837321,1.9700439
-0.0798527,-0.8235626,0.5258999,-2.5302243,0.2767797,-0.37923324,-0.03456192,-0.08822155,1.4727273,1.1413885
0.3661573,0.9993974,0.18976259,0.74041015,-0.81764895,-0.15595521,-0.10560417,-0.39252,4.8832536,3.8547592
0.14271677,0.30927384,0.11232424,2.1216123,0.080244504,-0.34086895,-0.17595811,-0.38120523,2.2995214,1.8401709
0.1958673,0.95951486,0.42475188,1.0508095,-0.42981207,0.75607026,0.34369072,-0.25630116,1.4985646,1.1955554
0.9339211,0.5647752,0.19712579,-1.4352739,-0.15803446,0.8815874,-0.19994001,0.22693935,2.9454546,2.4155772
-0.976053,-0.711413,1.0536319,1.3665031,-0.6017197,0.88986605,0.11043425,0.18020311,2.3770335,1.5020211
0.8245816,0.38353252,0.005765438,-2.9524379,-0.51820254,-0.2354001,0.058293153,0.18861409,2.4545455,1.9937918
-0.3332703,-0.91843855,1.7885427,-1.8336142,-0.8968882,0.69538015,-0.33018753,0.011663342,5.296651,3.4468985
0.06609249,-0.8960177,1.1282058,-1.7129922,-0.18613565,-0.29215458,-0.339308,-0.286306,1.8602871,1.1679125
0.3626485,-0.7153268,0.8826282,-3.0700536,-0.3858807,0.32346055,-0.34301838,0.3938593,3.0229666,2.4995859
0.7322322,-0.29815197,0.7176049,1.2743261,-0.41092953,0.61979616,0.073951915,-0.07839713,2.2995214,1.9606242
-0.86775255,-0.44514155,0.03831339,2.4573665,-0.56385654,0.64113015,0.06255479,0.3135751,2.2478468,1.6897783
0.6733681,-0.89722645,1.7019905,2.759767,-0.4225406,-0.8517865,-0.047539998,-0.3872356,1.5502392,0.95388985
0.68580973,0.043295264,1.5031147,-0.48186585,-0.8448599,-0.63078475,-0.14418721,-0.10968671,4.6507177,3.669074
-0.06279504,0.63625824,0.5394453,2.5594823,-0.61177164,0.5445102,0.21694933,-0.074472904,0.80095696,0.553013
0.7874099,0.25330377,0.073853135,2.414744,-0.1647165,-0.85116994,0.2211997,0.12391658,2.7904308,2.305007
-0.7546096,-0.6718639,1.263552,2.8483384,-0.77433056,0.41614118,0.22111288,-0.016517831,1.8344498,1.1608609
-0.851035,0.53337467,1.7885742,-2.2253108,-0.28254464,0.6483545,-0.37759328,0.28952542,2.738756,2.0784957
-0.5855342,0.047228098,0.12808609,-1.6384151,0.09143661,0.65544164,-0.20240884,-0.26318523,1.6019139,1.2257338
0.74556255,0.009103894,0.77983165,-1.0811603,-0.02301389,-0.7518122,0.26732975,0.21344538,1.5760766,1.2755781
0.72360516,0.39595366,0.94428957,-2.1509116,0.7297972,-0.7597277,0.3544913,-0.19746824,3.2038279,1.9585791
-0.8869879,-0.47929132,1.1213708,1.0623199,0.54455215,0.64999205,-0.26657262,-0.038859367,2.50622,1.8190141
0.9969593,0.8617506,0.6402291,-0.49868682,0.14184916,0.36303633,0.0027394295,0.06942892,2.2995214,1.712559
-0.5656296,-0.9428085,0.27572608,0.20092939,0.21776994,0.6418127,-0.049994804,-0.22815375,2.816268,2.2475908
-0.77299297,-0.20510077,1.9061139,2.6277113,-0.34145033,0.11339575,0.20168272,-0.10620022,2.6095693,1.83973
-0.82186806,-0.024406075,1.5263333,1.9306958,0.079180956,0.005905044,0.2577633,-0.2519116,2.9454546,2.462275
-0.96723676,-0.7632599,1.417379,1.8048985,0.26714018,-0.18565027,-0.2170321,-0.33373538,2.2220097,1.7338319
-0.61606526,-0.22273898,0.94551146,-2.9434822,-0.29603252,-0.3497008,0.30397126,-0.39223123,1.8861244,1.4597063
0.7506993,0.8225635,1.6431764,2.0068455,-0.57905406,0.002081716,-0.15361539,-0.27021787,3.9531102,2.9151807
0.70434225,0.6504811,1.0154707,1.9076928,0.7897832,-0.6892952,0.14054064,-0.39633474,4.9349284,3.7565956
0.0066138506,-0.341722,1.2178645,-1.0848705,0.19164716,0.59228075,-0.014204502,-0.09166775,2.7129188,2.185211
0.21507251,0.3367163,0.51237726,-1.6845263,-0.070781566,-0.8100111,0.3590016,-0.07078872,1.7569379,1.3992281
-0.85020936,0.7393153,1.6216576,-2.4206607,-0.7824719,-0.38119844,0.09348192,-0.36109686,1.6535885,0.93654865
-0.21480298,0.3709817,0.9705379,-1.5849422,-0.6809651,0.5472829,0.14948069,0.11567979,1.44689,1.0667821
